name	lat	long	start_time	end_time	attending_count	type,id
Halloween * * * *	43.66002	-79.39467	2017-10-27T16:20:00-0400	2017-10-27T23:00:00-0400	110	public	148845245857443
Commerce Trading Competition	43.6672401	-79.3995209	2017-10-27T13:30:00-0400	2017-10-27T20:00:00-0400	57	public	146731056062448
Freaky Friday: Halloween Edition	43.64715	-79.4033199	2017-10-27T20:00:00-0400		46	public	124292741523725
ACE X ADA Career Workshops 2017	43.6596	-79.3972	2017-10-28T11:00:00-0400	2017-10-28T16:00:00-0400	25	public	2005859529656761
Early Trick or Treat at CoCo Tea!	43.66679	-79.3854999	2017-10-29T12:00:00-0400	2017-10-29T23:00:00-0400	125	public	1565207960227802
Uncle Tetsu Cheesecake Sale	43.66201728	-79.39858918	2017-10-27T10:00:00-0400	2017-10-27T15:00:00-0400	82	public	362707997502414
Hart House Halloween Party	43.6636499	-79.3944999	2017-10-27T20:30:00-0400	2017-10-28T01:30:00-0400	67	public	128280067827845
UTBC: Men & Women’s Singles Tournament – 2017/18	43.66313	-79.3946799	2017-10-27T19:00:00-0400	2017-10-28T17:00:00-0400	10	public	1752028015093019
UofT Hosts U.S Senator Bernie Sanders #FeelTheBern	43.6607	-79.3954	2017-10-29T11:00:00-0400	2017-10-29T13:00:00-0400	1931	public	124117921635727
The Great Ghost Hunt	42.9849904	-81.2554529	2017-10-28T17:00:00-0400	2017-10-29T22:00:00-0400	641	public	461819804201310
FREE: Intro to Data Analytics	43.6474475	-79.3870878	2017-10-27T18:30:00-0400	2017-10-27T20:30:00-0400	12	public	133711563946660
Error
The Planets: a Musical Odyssey of Evolution, Environment and Exp	43.6636499	-79.3944999	2017-10-29T15:00:00-0400	2017-10-29T17:00:00-0400	27	public	124308051607871
Dead Poet XX Last Goodbye to Blank Canvas 890 Location	43.68044	-79.43295	2017-10-29T19:00:00-0400	2017-10-30T01:00:00-0400	179	public	176348836251051
Sunday Sip and Scribble	43.64642	-79.4071	2017-10-29T18:00:00-0400	2017-10-30T00:05:00-0400	35	public	144389992822004
Tower of Babble: An Offsite Event for 2/edition Toronto	43.65632	-79.3788	2017-10-29T20:00:00-0400	2017-10-29T22:00:00-0400	42	public	107418006684169
Line 1 Extension Open House	43.7822568	-79.521934	2017-10-28T13:00:00-0400	2017-10-28T17:00:00-0400	173	public	171682716718432
CONVERGE: Business x Technology	43.650962	-79.3702239	2017-10-28T14:00:00-0400	2017-10-28T17:30:00-0400	37	public	122217895196795
Buffy the Vampire Slayer Pub Quiz	43.64287	-79.4264	2017-10-29T18:30:00-0400	2017-10-29T21:30:00-0400	131	public	1424402650991328
Art Toronto 2017	43.643754142689	-79.386119518164	2017-10-27T12:00:00-0400	2017-10-30T18:00:00-0400	663	public	321907444925674
Peter Tchaikovsky.Inspiration	43.6466	-79.3864	2017-10-29T18:30:00-0400		63	public	120673675310672
Handel's Messiah	43.665225473789	-79.395962697944	2017-10-29T19:30:00-0400	2017-10-29T22:30:00-0400	30	public	1454332391320678
Free Tarot & Psychic Readings. Open House	43.66117	-79.4284799	2017-10-28T14:00:00-0400	2017-10-28T17:00:00-0400	134	public	1398752973513048
