name,lat,long,start_time,end_time,attending_count,type,id
"Halloween * * * *",43.66002,-79.39467,2017-10-27T16:20:00-0400,2017-10-27T23:00:00-0400,103,public,148845245857443
"Commerce Trading Competition",43.6672401,-79.3995209,2017-10-27T13:30:00-0400,2017-10-27T20:00:00-0400,57,public,146731056062448
"Freaky Friday: Halloween Edition",43.64715,-79.4033199,2017-10-27T20:00:00-0400,,42,public,124292741523725
"ACE X ADA Career Workshops 2017",43.6596,-79.3972,2017-10-28T11:00:00-0400,2017-10-28T16:00:00-0400,24,public,2005859529656761
"Early Trick or Treat at CoCo Tea!",43.66679,-79.3854999,2017-10-29T12:00:00-0400,2017-10-29T23:00:00-0400,110,public,1565207960227802
"Uncle Tetsu Cheesecake Sale",43.66201728,-79.39858918,2017-10-27T10:00:00-0400,2017-10-27T15:00:00-0400,76,public,362707997502414
"Hart House Halloween Party",43.6636499,-79.3944999,2017-10-27T20:30:00-0400,2017-10-28T01:30:00-0400,54,public,128280067827845
"UTBC: Men & Women’s Singles Tournament – 2017/18",43.66313,-79.3946799,2017-10-27T19:00:00-0400,2017-10-28T17:00:00-0400,9,public,1752028015093019
"UofT Hosts U.S Senator Bernie Sanders #FeelTheBern",43.6607,-79.3954,2017-10-29T11:00:00-0400,2017-10-29T13:00:00-0400,1902,public,124117921635727
"The Great Ghost Hunt",42.9849904,-81.2554529,2017-10-28T17:00:00-0400,2017-10-29T22:00:00-0400,614,public,461819804201310
