lat,long,time
43.639,-79.461,120
43.639,-79.457,180
43.639,-79.453,120
43.639,-79.449,180
43.639,-79.445,60
43.639,-79.441,120
43.639,-79.437,120
43.639,-79.433,120
43.639,-79.429,120
43.639,-79.425,120
43.639,-79.421,120
43.639,-79.417,60
43.639,-79.413,60
43.639,-79.409,120
43.639,-79.405,240
43.639,-79.401,120
43.639,-79.397,120
43.639,-79.393,180
43.639,-79.389,180
43.639,-79.385,180
43.639,-79.381,120
43.639,-79.377,120
43.639,-79.373,120
43.639,-79.369,120
43.639,-79.365,120
43.639,-79.361,420
43.643,-79.461,240
43.643,-79.457,180
43.643,-79.453,180
43.643,-79.449,120
43.643,-79.445,180
43.643,-79.441,180
43.643,-79.437,120
43.643,-79.433,120
43.643,-79.429,120
43.643,-79.425,60
43.643,-79.421,60
43.643,-79.417,120
43.643,-79.413,120
43.643,-79.409,120
43.643,-79.405,120
43.643,-79.401,120
43.643,-79.397,120
43.643,-79.393,60
43.643,-79.389,120
43.643,-79.385,120
43.643,-79.381,120
43.643,-79.377,180
43.643,-79.373,120
43.643,-79.369,120
43.643,-79.365,180
43.643,-79.361,120
43.647,-79.461,240
43.647,-79.457,120
43.647,-79.453,180
43.647,-79.449,60
43.647,-79.445,180
43.647,-79.441,120
43.647,-79.437,120
43.647,-79.433,180
43.647,-79.429,180
43.647,-79.425,180
43.647,-79.421,120
43.647,-79.417,120
43.647,-79.413,180
43.647,-79.409,120
43.647,-79.405,60
43.647,-79.401,120
43.647,-79.397,120
43.647,-79.393,120
43.647,-79.389,60
43.647,-79.385,120
43.647,-79.381,120
43.647,-79.377,120
43.647,-79.373,120
43.647,-79.369,120
43.647,-79.365,120
43.647,-79.361,120
43.651,-79.461,240
43.651,-79.457,120
43.651,-79.453,120
43.651,-79.449,120
43.651,-79.445,120
43.651,-79.441,120
43.651,-79.437,60
43.651,-79.433,120
43.651,-79.429,120
43.651,-79.425,60
43.651,-79.421,120
43.651,-79.417,120
43.651,-79.413,120
43.651,-79.409,180
43.651,-79.405,60
43.651,-79.401,120
43.651,-79.397,120
43.651,-79.393,120
43.651,-79.389,120
43.651,-79.385,120
43.651,-79.381,60
43.651,-79.377,60
43.651,-79.373,120
43.651,-79.369,120
43.651,-79.365,120
43.651,-79.361,120
43.655,-79.461,60
43.655,-79.457,120
43.655,-79.453,120
43.655,-79.449,120
43.655,-79.445,120
43.655,-79.441,60
43.655,-79.437,120
43.655,-79.433,120
43.655,-79.429,180
43.655,-79.425,180
43.655,-79.421,60
43.655,-79.417,60
43.655,-79.413,60
43.655,-79.409,60
43.655,-79.405,120
43.655,-79.401,300
43.655,-79.397,120
43.655,-79.393,180
43.655,-79.389,120
43.655,-79.385,60
43.655,-79.381,240
43.655,-79.377,60
43.655,-79.373,120
43.655,-79.369,120
43.655,-79.365,120
43.655,-79.361,120
43.659,-79.461,120
43.659,-79.457,120
43.659,-79.453,120
43.659,-79.449,180
43.659,-79.445,180
43.659,-79.441,120
43.659,-79.437,180
43.659,-79.433,120
43.659,-79.429,120
43.659,-79.425,180
43.659,-79.421,120
43.659,-79.417,180
43.659,-79.413,120
43.659,-79.409,120
43.659,-79.405,120
43.659,-79.401,120
43.659,-79.397,120
43.659,-79.393,120
43.659,-79.389,120
43.659,-79.385,60
43.659,-79.381,60
43.659,-79.377,120
43.659,-79.373,120
43.659,-79.369,120
43.659,-79.365,120
43.659,-79.361,120
43.663,-79.461,120
43.663,-79.457,120
43.663,-79.453,180
43.663,-79.449,180
43.663,-79.445,180
43.663,-79.441,180
43.663,-79.437,180
43.663,-79.433,120
43.663,-79.429,120
43.663,-79.425,60
43.663,-79.421,60
43.663,-79.417,180
43.663,-79.413,120
43.663,-79.409,120
43.663,-79.405,120
43.663,-79.401,180
43.663,-79.397,180
43.663,-79.393,120
43.663,-79.389,120
43.663,-79.385,60
43.663,-79.381,120
43.663,-79.377,120
43.663,-79.373,60
43.663,-79.369,120
43.663,-79.365,120
43.663,-79.361,60
43.667,-79.461,240
43.667,-79.457,180
43.667,-79.453,180
43.667,-79.449,120
43.667,-79.445,120
43.667,-79.441,120
43.667,-79.437,180
43.667,-79.433,120
43.667,-79.429,120
43.667,-79.425,180
43.667,-79.421,120
43.667,-79.417,180
43.667,-79.413,180
43.667,-79.409,60
43.667,-79.405,120
43.667,-79.401,120
43.667,-79.397,120
43.667,-79.393,120
43.667,-79.389,120
43.667,-79.385,60
43.667,-79.381,120
43.667,-79.377,120
43.667,-79.373,180
43.667,-79.369,120
43.667,-79.365,180
43.667,-79.361,180
43.671,-79.461,120
43.671,-79.457,120
43.671,-79.453,120
43.671,-79.449,120
43.671,-79.445,180
43.671,-79.441,120
43.671,-79.437,120
43.671,-79.433,120
43.671,-79.429,60
43.671,-79.425,60
43.671,-79.421,120
43.671,-79.417,180
43.671,-79.413,60
43.671,-79.409,180
43.671,-79.405,120
43.671,-79.401,60
43.671,-79.397,180
43.671,-79.393,120
43.671,-79.389,120
43.671,-79.385,60
43.671,-79.381,120
43.671,-79.377,120
43.671,-79.373,120
43.671,-79.369,120
43.671,-79.365,180
43.671,-79.361,360
43.675,-79.461,300
43.675,-79.457,240
43.675,-79.453,240
43.675,-79.449,180
43.675,-79.445,180
43.675,-79.441,120
43.675,-79.437,240
43.675,-79.433,180
43.675,-79.429,120
43.675,-79.425,120
43.675,-79.421,120
43.675,-79.417,120
43.675,-79.413,60
43.675,-79.409,120
43.675,-79.405,120
43.675,-79.401,60
43.675,-79.397,180
43.675,-79.393,120
43.675,-79.389,120
43.675,-79.385,180
43.675,-79.381,180
43.675,-79.377,120
43.675,-79.373,240
43.675,-79.369,180
43.675,-79.365,180
43.675,-79.361,120
43.679,-79.461,240
43.679,-79.457,300
43.679,-79.453,180
43.679,-79.449,120
43.679,-79.445,120
43.679,-79.441,120
43.679,-79.437,120
43.679,-79.433,120
43.679,-79.429,120
43.679,-79.425,180
43.679,-79.421,120
43.679,-79.417,120
43.679,-79.413,120
43.679,-79.409,120
43.679,-79.405,180
43.679,-79.401,120
43.679,-79.397,120
43.679,-79.393,120
43.679,-79.389,120
43.679,-79.385,120
43.679,-79.381,180
43.679,-79.377,240
43.679,-79.373,300
43.679,-79.369,120
43.679,-79.365,120
43.679,-79.361,180
43.683,-79.461,300
43.683,-79.457,180
43.683,-79.453,180
43.683,-79.449,180
43.683,-79.445,60
43.683,-79.441,120
43.683,-79.437,180
43.683,-79.433,120
43.683,-79.429,120
43.683,-79.425,120
43.683,-79.421,120
43.683,-79.417,120
43.683,-79.413,180
43.683,-79.409,120
43.683,-79.405,180
43.683,-79.401,120
43.683,-79.397,120
43.683,-79.393,120
43.683,-79.389,120
43.683,-79.385,240
43.683,-79.381,240
43.683,-79.377,180
43.683,-79.373,240
43.683,-79.369,420
43.683,-79.365,120
43.683,-79.361,300
43.687,-79.461,240
43.687,-79.457,120
43.687,-79.453,120
43.687,-79.449,120
43.687,-79.445,120
43.687,-79.441,120
43.687,-79.437,240
43.687,-79.433,180
43.687,-79.429,180
43.687,-79.425,180
43.687,-79.421,120
43.687,-79.417,180
43.687,-79.413,120
43.687,-79.409,180
43.687,-79.405,120
43.687,-79.401,180
43.687,-79.397,120
43.687,-79.393,120
43.687,-79.389,180
43.687,-79.385,120
43.687,-79.381,120
43.687,-79.377,180
43.687,-79.373,240
43.687,-79.369,420
43.687,-79.365,120
43.687,-79.361,180
