lat,long,time
43.647,-79.461,300
43.647,-79.455,240
43.647,-79.449,120
43.647,-79.443,120
43.647,-79.437,180
43.647,-79.431,180
43.647,-79.425,180
43.647,-79.419,180
43.647,-79.413,300
43.647,-79.407,120
43.647,-79.401,120
43.647,-79.395,120
43.647,-79.389,120
43.647,-79.383,60
43.647,-79.377,120
43.647,-79.371,120
43.647,-79.365,120
43.647,-79.359,180
43.647,-79.353,240
43.647,-79.347,240
43.647,-79.341,300
43.647,-79.335,360
43.653,-79.461,180
43.653,-79.455,120
43.653,-79.449,120
43.653,-79.443,120
43.653,-79.437,180
43.653,-79.431,120
43.653,-79.425,240
43.653,-79.419,300
43.653,-79.413,240
43.653,-79.407,300
43.653,-79.401,180
43.653,-79.395,60
43.653,-79.389,120
43.653,-79.383,180
43.653,-79.377,120
43.653,-79.371,120
43.653,-79.365,120
43.653,-79.359,120
43.653,-79.353,180
43.653,-79.347,180
43.653,-79.341,180
43.653,-79.335,120
43.659,-79.461,120
43.659,-79.455,120
43.659,-79.449,120
43.659,-79.443,120
43.659,-79.437,120
43.659,-79.431,120
43.659,-79.425,180
43.659,-79.419,180
43.659,-79.413,360
43.659,-79.407,240
43.659,-79.401,180
43.659,-79.395,120
43.659,-79.389,120
43.659,-79.383,120
43.659,-79.377,120
43.659,-79.371,120
43.659,-79.365,120
43.659,-79.359,120
43.659,-79.353,120
43.659,-79.347,300
43.659,-79.341,180
43.659,-79.335,120
43.665,-79.461,180
43.665,-79.455,300
43.665,-79.449,180
43.665,-79.443,180
43.665,-79.437,120
43.665,-79.431,120
43.665,-79.425,180
43.665,-79.419,120
43.665,-79.413,120
43.665,-79.407,120
43.665,-79.401,120
43.665,-79.395,180
43.665,-79.389,180
43.665,-79.383,120
43.665,-79.377,60
43.665,-79.371,180
43.665,-79.365,180
43.665,-79.359,120
43.665,-79.353,120
43.665,-79.347,60
43.665,-79.341,120
43.665,-79.335,180
43.671,-79.461,120
43.671,-79.455,180
43.671,-79.449,180
43.671,-79.443,120
43.671,-79.437,180
43.671,-79.431,120
43.671,-79.425,120
43.671,-79.419,120
43.671,-79.413,120
43.671,-79.407,120
43.671,-79.401,120
43.671,-79.395,120
43.671,-79.389,60
43.671,-79.383,60
43.671,-79.377,120
43.671,-79.371,120
43.671,-79.365,180
43.671,-79.359,240
43.671,-79.353,180
43.671,-79.347,240
43.671,-79.341,180
43.671,-79.335,120
43.677,-79.461,180
43.677,-79.455,180
43.677,-79.449,180
43.677,-79.443,180
43.677,-79.437,180
43.677,-79.431,120
43.677,-79.425,180
43.677,-79.419,180
43.677,-79.413,180
43.677,-79.407,120
43.677,-79.401,120
43.677,-79.395,120
43.677,-79.389,60
43.677,-79.383,180
43.677,-79.377,180
43.677,-79.371,240
43.677,-79.365,240
43.677,-79.359,240
43.677,-79.353,120
43.677,-79.347,120
43.677,-79.341,120
43.677,-79.335,180
43.683,-79.461,120
43.683,-79.455,180
43.683,-79.449,180
43.683,-79.443,180
43.683,-79.437,180
43.683,-79.431,240
43.683,-79.425,180
43.683,-79.419,120
43.683,-79.413,120
43.683,-79.407,180
43.683,-79.401,120
43.683,-79.395,120
43.683,-79.389,120
43.683,-79.383,120
43.683,-79.377,120
43.683,-79.371,180
43.683,-79.365,240
43.683,-79.359,120
43.683,-79.353,120
43.683,-79.347,180
43.683,-79.341,180
43.683,-79.335,180
43.689,-79.461,240
43.689,-79.455,180
43.689,-79.449,120
43.689,-79.443,180
43.689,-79.437,120
43.689,-79.431,120
43.689,-79.425,120
43.689,-79.419,120
43.689,-79.413,180
43.689,-79.407,180
43.689,-79.401,120
43.689,-79.395,180
43.689,-79.389,120
43.689,-79.383,120
43.689,-79.377,240
43.689,-79.371,300
43.689,-79.365,240
43.689,-79.359,180
43.689,-79.353,180
43.689,-79.347,120
43.689,-79.341,180
43.689,-79.335,240
43.695,-79.461,180
43.695,-79.455,180
43.695,-79.449,180
43.695,-79.443,120
43.695,-79.437,180
43.695,-79.431,120
43.695,-79.425,120
43.695,-79.419,240
43.695,-79.413,120
43.695,-79.407,120
43.695,-79.401,180
43.695,-79.395,120
43.695,-79.389,180
43.695,-79.383,180
43.695,-79.377,120
43.695,-79.371,180
43.695,-79.365,300
43.695,-79.359,240
43.695,-79.353,180
43.695,-79.347,120
43.695,-79.341,120
43.695,-79.335,120
43.701,-79.461,300
43.701,-79.455,240
43.701,-79.449,120
43.701,-79.443,120
43.701,-79.437,120
43.701,-79.431,240
43.701,-79.425,180
43.701,-79.419,180
43.701,-79.413,180
43.701,-79.407,120
43.701,-79.401,120
43.701,-79.395,120
43.701,-79.389,120
43.701,-79.383,120
43.701,-79.377,120
43.701,-79.371,240
43.701,-79.365,240
43.701,-79.359,120
43.701,-79.353,240
43.701,-79.347,360
43.701,-79.341,240
43.701,-79.335,120
43.707,-79.461,240
43.707,-79.455,240
43.707,-79.449,180
43.707,-79.443,120
43.707,-79.437,240
43.707,-79.431,240
43.707,-79.425,120
43.707,-79.419,120
43.707,-79.413,240
43.707,-79.407,120
43.707,-79.401,120
43.707,-79.395,180
43.707,-79.389,120
43.707,-79.383,180
43.707,-79.377,120
43.707,-79.371,180
43.707,-79.365,120
43.707,-79.359,180
43.707,-79.353,360
43.707,-79.347,180
43.707,-79.341,240
43.707,-79.335,360
43.713,-79.461,240
43.713,-79.455,240
43.713,-79.449,300
43.713,-79.443,240
43.713,-79.437,180
43.713,-79.431,120
43.713,-79.425,180
43.713,-79.419,240
43.713,-79.413,180
43.713,-79.407,180
43.713,-79.401,60
43.713,-79.395,120
43.713,-79.389,120
43.713,-79.383,180
43.713,-79.377,180
43.713,-79.371,120
43.713,-79.365,180
43.713,-79.359,120
43.713,-79.353,180
43.713,-79.347,300
43.713,-79.341,360
43.713,-79.335,120
