lat,long,time
43.855,-79.493,300
43.855,-79.489,300
43.855,-79.485,180
43.855,-79.481,300
43.855,-79.477,420
43.855,-79.473,360
43.855,-79.469,300
43.855,-79.465,240
43.855,-79.461,180
43.855,-79.457,300
43.855,-79.453,240
43.855,-79.449,300
43.855,-79.445,180
43.855,-79.441,180
43.855,-79.437,180
43.855,-79.433,60
43.855,-79.429,120
43.855,-79.425,120
43.855,-79.421,180
43.855,-79.417,300
43.855,-79.413,300
43.855,-79.409,360
43.855,-79.405,300
43.855,-79.401,240
43.855,-79.397,360
43.855,-79.393,180
43.859,-79.493,240
43.859,-79.489,240
43.859,-79.485,180
43.859,-79.481,240
43.859,-79.477,300
43.859,-79.473,480
43.859,-79.469,300
43.859,-79.465,300
43.859,-79.461,240
43.859,-79.457,300
43.859,-79.453,240
43.859,-79.449,300
43.859,-79.445,180
43.859,-79.441,120
43.859,-79.437,120
43.859,-79.433,60
43.859,-79.429,120
43.859,-79.425,240
43.859,-79.421,360
43.859,-79.417,240
43.859,-79.413,300
43.859,-79.409,360
43.859,-79.405,300
43.859,-79.401,300
43.859,-79.397,300
43.859,-79.393,240
43.863,-79.493,240
43.863,-79.489,240
43.863,-79.485,120
43.863,-79.481,180
43.863,-79.477,180
43.863,-79.473,240
43.863,-79.469,300
43.863,-79.465,300
43.863,-79.461,300
43.863,-79.457,300
43.863,-79.453,360
43.863,-79.449,300
43.863,-79.445,240
43.863,-79.441,180
43.863,-79.437,120
43.863,-79.433,120
43.863,-79.429,180
43.863,-79.425,360
43.863,-79.421,420
43.863,-79.417,300
43.863,-79.413,300
43.863,-79.409,360
43.863,-79.405,300
43.863,-79.401,300
43.863,-79.397,240
43.863,-79.393,240
43.867,-79.493,240
43.867,-79.489,240
43.867,-79.485,180
43.867,-79.481,180
43.867,-79.477,300
43.867,-79.473,360
43.867,-79.469,240
43.867,-79.465,300
43.867,-79.461,360
43.867,-79.457,300
43.867,-79.453,360
43.867,-79.449,300
43.867,-79.445,240
43.867,-79.441,180
43.867,-79.437,120
43.867,-79.433,120
43.867,-79.429,180
43.867,-79.425,240
43.867,-79.421,240
43.867,-79.417,300
43.867,-79.413,240
43.867,-79.409,300
43.867,-79.405,360
43.867,-79.401,300
43.867,-79.397,300
43.867,-79.393,300
43.871,-79.493,240
43.871,-79.489,240
43.871,-79.485,420
43.871,-79.481,420
43.871,-79.477,420
43.871,-79.473,300
43.871,-79.469,360
43.871,-79.465,300
43.871,-79.461,300
43.871,-79.457,360
43.871,-79.453,360
43.871,-79.449,240
43.871,-79.445,180
43.871,-79.441,240
43.871,-79.437,120
43.871,-79.433,120
43.871,-79.429,180
43.871,-79.425,240
43.871,-79.421,180
43.871,-79.417,180
43.871,-79.413,180
43.871,-79.409,300
43.871,-79.405,300
43.871,-79.401,240
43.871,-79.397,300
43.871,-79.393,240
43.875,-79.493,300
43.875,-79.489,300
43.875,-79.485,360
43.875,-79.481,360
43.875,-79.477,420
43.875,-79.473,300
43.875,-79.469,300
43.875,-79.465,180
43.875,-79.461,300
43.875,-79.457,240
43.875,-79.453,300
43.875,-79.449,240
43.875,-79.445,180
43.875,-79.441,120
43.875,-79.437,120
43.875,-79.433,120
43.875,-79.429,180
43.875,-79.425,180
43.875,-79.421,120
43.875,-79.417,60
43.875,-79.413,180
43.875,-79.409,300
43.875,-79.405,240
43.875,-79.401,240
43.875,-79.397,240
43.875,-79.393,240
43.879,-79.493,360
43.879,-79.489,360
43.879,-79.485,300
43.879,-79.481,360
43.879,-79.477,420
43.879,-79.473,240
43.879,-79.469,240
43.879,-79.465,300
43.879,-79.461,240
43.879,-79.457,300
43.879,-79.453,240
43.879,-79.449,240
43.879,-79.445,180
43.879,-79.441,180
43.879,-79.437,120
43.879,-79.433,120
43.879,-79.429,180
