lat,long,time
43.656,-79.435,240
43.656,-79.433,180
43.656,-79.431,180
43.656,-79.429,240
43.656,-79.427,180
43.656,-79.425,180
43.656,-79.423,180
43.656,-79.421,240
43.656,-79.419,360
43.656,-79.417,360
43.656,-79.415,480
43.656,-79.413,480
43.656,-79.411,480
43.656,-79.409,480
43.656,-79.407,480
43.656,-79.405,420
43.656,-79.403,420
43.656,-79.401,420
43.656,-79.399,240
43.656,-79.397,240
43.656,-79.395,180
43.656,-79.393,300
43.656,-79.391,300
43.656,-79.389,420
43.656,-79.387,240
43.656,-79.385,300
43.656,-79.383,240
43.656,-79.381,240
43.656,-79.379,240
43.656,-79.377,180
43.656,-79.375,240
43.656,-79.373,240
43.656,-79.371,240
43.656,-79.369,360
43.656,-79.367,420
43.656,-79.365,300
43.656,-79.363,360
43.656,-79.361,420
43.656,-79.359,480
43.658,-79.435,180
43.658,-79.433,180
43.658,-79.431,180
43.658,-79.429,180
43.658,-79.427,180
43.658,-79.425,300
43.658,-79.423,300
43.658,-79.421,360
43.658,-79.419,300
43.658,-79.417,420
43.658,-79.415,360
43.658,-79.413,420
43.658,-79.411,300
43.658,-79.409,360
43.658,-79.407,360
43.658,-79.405,240
43.658,-79.403,240
43.658,-79.401,240
43.658,-79.399,180
43.658,-79.397,240
43.658,-79.395,180
43.658,-79.393,240
43.658,-79.391,360
43.658,-79.389,300
43.658,-79.387,300
43.658,-79.385,300
43.658,-79.383,240
43.658,-79.381,240
43.658,-79.379,300
43.658,-79.377,360
43.658,-79.375,360
43.658,-79.373,360
43.658,-79.371,360
43.658,-79.369,480
43.658,-79.367,420
43.658,-79.365,420
43.658,-79.363,420
43.658,-79.361,420
43.658,-79.359,480
43.660,-79.435,240
43.660,-79.433,240
43.660,-79.431,180
43.660,-79.429,240
43.660,-79.427,300
43.660,-79.425,300
43.660,-79.423,360
43.660,-79.421,480
43.660,-79.419,480
43.660,-79.417,480
43.660,-79.415,540
43.660,-79.413,540
43.660,-79.411,480
43.660,-79.409,360
43.660,-79.407,240
43.660,-79.405,180
43.660,-79.403,240
43.660,-79.401,120
43.660,-79.399,120
43.660,-79.397,120
43.660,-79.395,180
43.660,-79.393,240
43.660,-79.391,300
43.660,-79.389,360
43.660,-79.387,240
43.660,-79.385,240
43.660,-79.383,480
43.660,-79.381,480
43.660,-79.379,360
43.660,-79.377,420
43.660,-79.375,480
43.660,-79.373,480
43.660,-79.371,480
43.660,-79.369,480
43.660,-79.367,480
43.660,-79.365,420
43.660,-79.363,420
43.660,-79.361,480
43.660,-79.359,480
43.662,-79.435,300
43.662,-79.433,360
43.662,-79.431,300
43.662,-79.429,300
43.662,-79.427,300
43.662,-79.425,300
43.662,-79.423,300
43.662,-79.421,360
43.662,-79.419,420
43.662,-79.417,300
43.662,-79.415,540
43.662,-79.413,480
43.662,-79.411,420
43.662,-79.409,480
43.662,-79.407,300
43.662,-79.405,300
43.662,-79.403,300
43.662,-79.401,300
43.662,-79.399,180
43.662,-79.397,180
43.662,-79.395,300
43.662,-79.393,300
43.662,-79.391,300
43.662,-79.389,300
43.662,-79.387,360
43.662,-79.385,300
43.662,-79.383,480
43.662,-79.381,480
43.662,-79.379,480
43.662,-79.377,480
43.662,-79.375,480
43.662,-79.373,420
43.662,-79.371,420
43.662,-79.369,360
43.662,-79.367,360
43.662,-79.365,420
43.662,-79.363,420
43.662,-79.361,360
43.662,-79.359,360
43.664,-79.435,420
43.664,-79.433,300
43.664,-79.431,300
43.664,-79.429,300
43.664,-79.427,360
43.664,-79.425,360
43.664,-79.423,360
43.664,-79.421,360
43.664,-79.419,360
43.664,-79.417,540
43.664,-79.415,540
43.664,-79.413,540
43.664,-79.411,480
43.664,-79.409,600
43.664,-79.407,360
43.664,-79.405,300
43.664,-79.403,360
43.664,-79.401,240
43.664,-79.399,240
43.664,-79.397,300
43.664,-79.395,360
43.664,-79.393,480
43.664,-79.391,420
43.664,-79.389,360
43.664,-79.387,300
43.664,-79.385,360
43.664,-79.383,540
43.664,-79.381,480
43.664,-79.379,540
43.664,-79.377,540
43.664,-79.375,480
43.664,-79.373,480
43.664,-79.371,540
43.664,-79.369,420
43.664,-79.367,420
43.664,-79.365,420
43.664,-79.363,420
43.664,-79.361,420
43.664,-79.359,360
43.666,-79.435,360
43.666,-79.433,360
43.666,-79.431,300
43.666,-79.429,480
43.666,-79.427,360
43.666,-79.425,480
43.666,-79.423,540
43.666,-79.421,540
43.666,-79.419,540
43.666,-79.417,600
43.666,-79.415,540
43.666,-79.413,540
43.666,-79.411,420
43.666,-79.409,480
43.666,-79.407,360
43.666,-79.405,420
43.666,-79.403,180
43.666,-79.401,120
43.666,-79.399,300
43.666,-79.397,240
43.666,-79.395,360
43.666,-79.393,420
43.666,-79.391,480
43.666,-79.389,420
43.666,-79.387,420
43.666,-79.385,300
43.666,-79.383,540
43.666,-79.381,420
43.666,-79.379,480
43.666,-79.377,360
43.666,-79.375,360
43.666,-79.373,540
43.666,-79.371,540
43.666,-79.369,540
43.666,-79.367,480
43.666,-79.365,480
43.666,-79.363,360
43.666,-79.361,300
43.666,-79.359,420
